X,ID,Intercept,umol.L.sec,Temp.C,Date,Run,Species,Temp.Cat,Light_Dark,Organism.ID,Species.Fullname,Blank,Surface.Area,Buoyant.Weight,Treatment,Mean,RMSE,R2,Std Error Slope,Std Error Intercept,t Ratio Slope,t Ratio Intercept,Prob>|t| Slope,Prob>|t| Intercept
2,G139_Por2_TP_0.2,94.58190344,0.023332854,30,02/16/2021,NA,Por,30,Light,Por2,Porites,0,5,10,0,120.32125,0.051487574,0.999980981,7.19534E-05,0.083444936,324.2771854,1133.464872,9.50957E-06,7.78365E-07
3,G182_Por5_TP_0.1,126.9810901,-0.01829846,30,02/16/2021,NA,Por,30,Dark,Por5,Porites,0,5,10,0,87.608,0.029935942,0.999980365,5.73353E-05,0.124274004,-319.1481616,1021.783206,9.81768E-06,9.57815E-07
4,R108_Por6_TP_0.2,84.0535068,0.027066282,30,02/16/2021,NA,Por,30,Light,Por6,Porites,0,5,10,0,112.44425,0.066740562,0.999976647,9.24885E-05,0.1025932,292.6447049,819.2892606,1.16765E-05,1.48979E-06
5,R028_Poc7_TP_2.2,154.3117601,-0.010863498,28,02/16/2021,NA,Poc,28,Dark,Poc7,Pocillopora,0,5,10,2,128.14525,0.045562304,0.999877589,8.49947E-05,0.205987156,-127.813881,749.1329215,6.12074E-05,1.78189E-06
6,BLANK,106.6786061,-0.003289333,22,02/16/2021,NA,BLANK,22,Dark,BLANKBLANK,BLANK,0,5,10,4,99.74025,0.050290539,0.998682146,8.44915E-05,0.179987221,-38.93095385,592.7010022,0.000659144,2.8466E-06
7,G136_Por2_TP_2.3,141.6991157,-0.005307052,22,02/16/2021,NA,Por,22,Dark,Por2,Porites,0,5,10,2,127.98525,0.040726939,0.999390725,9.26568E-05,0.240297274,-57.27644888,589.6825774,0.000304684,2.87582E-06
8,BLANK,104.8517889,0.000859822,22,02/16/2021,NA,BLANK,22,Light,BLANKBLANK,BLANK,0,5,10,2,106.103,0.081770082,0.959392767,0.000125083,0.186555254,6.874031523,562.0414682,0.020514029,3.16564E-06
9,G160_Por3_TP_2.1,202.5638503,-0.020304247,26,02/16/2021,NA,Por,26,Dark,Por3,Porites,0,5,10,2,160.6375,0.102410242,0.999842758,0.000180049,0.375293854,-112.7706534,539.7473163,7.86243E-05,3.43255E-06
10,G139_Por2_TP_0.2,180.6925907,-0.022013132,28,02/16/2021,NA,Por,28,Dark,Por2,Porites,0,5,10,0,129.38775,0.085503427,0.999904366,0.000152228,0.35735634,-144.6062768,505.6370086,4.78183E-05,3.91129E-06
11,R028_Poc7_TP_2.2,140.1500693,-0.00488425,24,02/16/2021,NA,Poc,24,Dark,Poc7,Pocillopora,0,5,10,2,128.7525,0.067399981,0.998573384,0.000130541,0.306480115,-37.41548883,457.2892745,0.000713563,4.78206E-06
12,BLANK,99.35234858,-0.0024768,22,02/16/2021,NA,BLANK,22,Light,BLANKBLANK,BLANK,0,5,10,0,95.88925,0.122509624,0.992284362,0.000154434,0.224452509,-16.03788728,442.6430734,0.003865289,5.10375E-06
13,R028_Poc7_TP_2.2,97.25394377,0.015567578,26,02/16/2021,NA,Poc,26,Light,Poc7,Pocillopora,0,5,10,2,114.14375,0.124994235,0.999667241,0.000200837,0.226680543,77.51355251,429.035252,0.000166393,5.43263E-06
14,G025_Poc2_TP_2.2,100.9313897,0.025750741,24,02/16/2021,NA,Poc,24,Light,Poc2,Pocillopora,0,5,10,2,128.3575,0.152218159,0.999848068,0.000224457,0.250883172,114.7247075,402.3043428,0.000075969,6.17855E-06
15,BLANK,103.9812875,0.000417227,26,02/16/2021,NA,BLANK,26,Light,BLANKBLANK,BLANK,0,5,10,2,104.3985,0.159125258,0.571040297,0.000255701,0.267784668,1.631699305,388.30187,0.244327917,6.63219E-06
16,BLANK,94.67887196,-0.010412615,30,02/16/2021,NA,BLANK,30,Light,BLANKBLANK,BLANK,0,5,10,0,82.46375,0.141612339,0.999256183,0.000200881,0.246063002,-51.83466949,384.77492,0.000371978,6.75433E-06
17,R042_Poc8_TP_2.3,191.3504821,-0.009951295,24,02/16/2021,NA,Poc,24,Dark,Poc8,Pocillopora,0,5,10,2,169.10075,0.115102065,0.99901372,0.000221095,0.497676998,-45.00912805,384.4872937,0.000493262,6.76444E-06
18,R108_Por6_TP_0.2,100.1083019,0.025357299,28,02/16/2021,NA,Por,28,Light,Por6,Porites,0,5,10,0,126.04525,0.196735209,0.999817078,0.000242528,0.266862736,104.5542691,375.1303135,9.14654E-05,7.1061E-06
19,BLANK,88.32690072,-0.013787819,34,02/16/2021,NA,BLANK,34,Light,BLANKBLANK,BLANK,0,5,10,0,72.495,0.142934454,0.999597946,0.000195528,0.23561624,-70.5156806,374.8761149,0.000201047,7.11574E-06
20,BLANK,105.0329115,-0.005640479,30,02/16/2021,NA,BLANK,30,Dark,BLANKBLANK,BLANK,0,5,10,2,93.76975,0.085719886,0.998722185,0.000142663,0.288082823,-39.53696874,364.5927592,0.000639112,7.52279E-06
21,R041_Poc8_TP_0.2,141.0605265,-0.013423865,26,02/16/2021,NA,Poc,26,Dark,Poc8,Pocillopora,0,5,10,0,109.92525,0.094173089,0.999695022,0.000165792,0.387408923,-80.96826775,364.1127454,0.0001525,7.54264E-06
22,G155_Por3_TP_4.2,154.4164036,-0.025013888,34,02/16/2021,NA,Por,34,Dark,Por3,Porites,0,5,10,4,106.083,0.162822349,0.999828173,0.000231873,0.455375118,-107.8777315,339.0971479,8.59173E-05,8.69653E-06
23,R005_Poc6_TP_2.3,188.5694115,-0.014365796,26,02/16/2021,NA,Poc,26,Dark,Poc6,Pocillopora,0,5,10,2,157.9445,0.149010621,0.999332215,0.00026259,0.564724008,-54.70809137,333.9142817,0.000333948,8.96859E-06
24,G139_Por2_TP_0.2,85.63236357,0.022343879,22,02/16/2021,NA,Por,22,Light,Por2,Porites,0,5,10,0,115.47925,0.148067759,0.999863574,0.000184553,0.257402559,121.0699403,332.6787583,6.82155E-05,9.03533E-06
25,G051_Poc3_TP_0.1,147.5200518,-0.013097543,26,02/16/2021,NA,Poc,26,Dark,Poc3,Pocillopora,0,5,10,0,116.3845,0.116216092,0.999507249,0.000205634,0.492276385,-63.69339833,299.6691619,0.000246406,1.11355E-05
26,BLANK,108.1030568,-0.005719294,24,02/16/2021,NA,BLANK,24,Dark,BLANKBLANK,BLANK,0,5,10,4,96.31925,0.113543141,0.997957694,0.00018295,0.38119357,-31.26156348,283.5909766,0.001021675,1.24339E-05
27,G150_Por3_TP_0.3,170.0575565,-0.0195629,24,02/16/2021,NA,Por,24,Dark,Por3,Porites,0,5,10,0,130.53775,0.178242878,0.999542972,0.000295794,0.604154619,-66.13694097,281.4801891,0.00022854,1.26211E-05
28,G031_Poc2_TP_4.2,123.2327013,0.039633943,26,02/16/2021,NA,Poc,26,Light,Poc2,Pocillopora,0,5,10,4,167.58775,0.222688658,0.99977304,0.000422256,0.485494726,93.86233141,253.8291245,0.000113486,1.55205E-05
29,G182_Por5_TP_0.1,86.07679373,0.01078122,22,02/16/2021,NA,Por,22,Light,Por5,Porites,0,5,10,0,99.8015,0.212415309,0.998818555,0.00026219,0.350263688,41.11985033,245.7485507,0.000590897,0.000016558
